Levels,Question,A,B,C,D
,Would you prefer to be a leader or a follower?,Leader,Follower,,
,"If you could attend a workshop, which topic would you choose?",Leadership and influence.,Time management and organization.,Innovative problem-solving.,Emotional intelligence and empathy.
,Which one feels more grounding?,"""Be present, not perfect.""","""Live simply, love deeply.""",,
,Would you rather compose a symphony or write a screenplay?,Compose a symphony,Write a screenplay,,
,"When setting goals, do you:","Aim for achievable, realistic targets","Set ambitious, challenging objectives",,
,What's your preferred way to help others?,Inspire them by setting an example.,Offer practical assistance and support.,Share knowledge and teach.,Provide a listening ear and understanding.
,Would you rather have a personal assistant or a personal chef?,Personal assistant,Personal chef,,
,Would you prefer to always have a perfect memory or always have a perfect imagination?,Perfect memory,Perfect imagination,,
,Would you rather have super strength or super intelligence?,Super strength,Super intelligence,,
,Would you prefer to develop your negotiation skills or your creative problem-solving skills?,Negotiation skills,Creative problem-solving skills,,
,Would you prefer to have the power to change the past or shape the future?,Change the past,Shape the future,,
,Which one resonates with how you feel?,"""Start before you’re ready.""","""Take it easy on yourself.""",,
,Would you rather attend a cooking class or a dance class?,Cooking class,Dance class,,
,Do you enjoy learning by:,Reading and studying,Hands-on experience,,
,Would you rather follow a budget strictly or allow for occasional splurges?,Follow budget strictly,Allow splurges,,
,Would you rather follow your heart or follow your head?,Follow my heart,Follow my head,,
,Would you rather have constant company or lots of alone time?,Constant company,Lots of alone time,,
,Would you rather be a leading scientist or a prominent historian?,Scientist,Historian,,
,Do you like more: spontaneous surprises or planned gifts?,Planned gifts,Spontaneous surprises,,
,Which would you enjoy more: attending a music festival or a food festival?,Music festival,Food festival,,
,Would you rather mentor someone or be mentored by someone?,Mentor someone,Be mentored,,
,Which appeals to you more: working with animals or working with technology?,Animals,Technology,,
,Which act sounds more fulfilling?,Write an encouraging note to a coworker.,Bring treats to a local fire station.,,
,Which one feels more comforting?,"""Your pace is perfect for you.""","""You don’t need to have all the answers.""",,
,Do you prefer feedback that is:,Direct and specific,Gentle and encouraging,,
,Would you rather mentor someone or be mentored by someone you admire?,Mentor someone,Be mentored,,
,Would you rather choose a sure loss of $50 or a 50% chance to lose $100?,Sure loss of $50,50% chance at $100 loss,,
,Which area would you most like to improve in yourself?,Taking bold action more consistently.,Enhancing organization and planning skills.,Deepening emotional connections with others.,Expanding knowledge and expertise.
,Would you rather know all the world's secrets or live happily unaware?,Know the secrets,Live happily unaware,,
,Do you prefer planned dates or spontaneous adventures with your significant other?,Planned dates,Spontaneous adventures,,
,Would you rather resolve conflicts immediately or take time to cool off?,Resolve immediately,Take time first,,
,Which would you enjoy more?,Leave a book in a public place for someone to find.,Help a coworker meet a deadline.,,
,"When working under pressure, do you:",Stay calm,Feel energized or stressed,,
,Do you find purpose in storytelling or in listening to others' stories?,Storytelling,Listening,,
,Would you rather be invisible or be super strong?,Invisible,Super strong,,
,Is it more important for you to be respected or loved in a relationship?,Respected,Loved,,
,Which would you find more rewarding: volunteering for a cause or donating to a charity?,Volunteering,Donating,,
,Would you rather restore classic cars or renovate old houses?,Restore cars,Renovate houses,,
,Do you often compare yourself to others?,Yes,No,,
,Do you feel confident in social situations?,Yes,No,,
,Do you accept compliments graciously?,Yes,No,,
12 (Student),Which one speaks louder to you?,"""Follow the things that bring you joy.""","""Focus on progress, not perfection.""",,
,Do you enjoy more: the excitement of a big city or the peace of a small town?,Big city excitement,Small town peace,,
,"If you could have a themed party, what would it be?",A masquerade ball with a surprise twist.,A cozy potluck gathering with homemade dishes.,An arts and crafts workshop where everyone creates something.,A mystery-solving game night.
,Which makes you feel more positive?,Send a heartfelt message to a friend.,Pick up litter in your neighborhood.,,
,"When planning your day, do you:",Schedule everything carefully,Go with the flow and be spontaneous,,
,Would you rather receive a compliment or a small gift from a colleague?,Compliment,Small gift,,
,Do you prefer expressing your feelings openly or keeping them private?,Express openly,Keep them private,,
,How do you handle jealousy in a relationship?,Discuss it openly,Work through it internally,,
,Would you rather your partner share all their thoughts or keep some things to themselves?,Share everything,Keep some privacy,,
,Is it important for you to meet your friend's family and other friends?,"Yes, very important",Not necessarily,,
,Would you rather be with someone who challenges you or someone who comforts you?,Challenges me,Comforts me,,
,Would you rather work on improving yourself or helping others improve?,Improving myself,Helping others improve,,
,Which one feels like the encouragement you need?,"""Your only limit is your mind.""","""Let go of what’s not meant for you.""",,
,Do you prefer learning through hands-on experience or studying from books?,Hands-on experience,Studying from books,,
,"In a team, do you usually:",Take charge and organize,Support and collaborate,,
,Which would you like to do more?,Offer to babysit for a friend.,Help someone carry heavy bags.,,
,Which would you enjoy more: designing your own clothes or decorating your own home?,Designing clothes,Decorating home,,
,Do you get easily distracted?,Yes,No,,
,Do you seek feedback to improve yourself?,Yes,No,,
,Are you patient when things don't go as planned?,Yes,No,,
,Pick a Virtue:,Bravery,Loyalty,Wisdom,Empathy
,Do you prefer the challenge of climbing a mountain or the tranquility of sailing on a lake?,Climbing a mountain,Sailing on a lake,,
,Which fictional world would you like to live in?,A futuristic city with flying cars and high-tech gadgets.,A world where books come to life.,A quaint village where everyone knows each other.,A magical realm filled with mythical creatures.
,Which one feels closer to your heart?,"""You are stronger than you know.""","""Breathe; you’re exactly where you need to be.""",,
,Which act sounds more enjoyable?,Volunteer at an animal shelter.,Donate books to a local library.,,
,"When tackling a big task, do you:",Break it into smaller steps,Dive in and tackle it whole,,
,Are you more passionate about creating art or appreciating art?,Creating art,Appreciating art,,
,What's your ideal personal development retreat?,An intensive boot camp that challenges you physically and mentally.,A serene getaway focused on mindfulness and balance.,A conference featuring experts in various fields.,An artistic residency to immerse yourself in creativity.
,Would you rather have deep conversations or lighthearted fun with friends?,Deep conversations,Lighthearted fun,,
,Do you believe that love can overcome any obstacle?,"Yes, love conquers all",Some obstacles are too big,,
,How important is it for you to maintain independence in a relationship?,Very important,Not very important,,
,Would you rather date someone similar to you or someone completely different?,Similar to me,Completely different,,
,Would you rather invest in your own education or in stocks?,Invest in education,Invest in stocks,,
,Do you enjoy learning new skills?,Yes,No,,
,Do you struggle with making decisions?,Yes,No,,
,Do you manage stress effectively?,Yes,No,,
,Which one matches your approach to life?,"""Dream big, start small.""","""Find peace in the journey.""",,
,Which makes you feel better to do?,Pay for someone's meal anonymously.,Leave a kind note for someone to find.,,
,Do you find inspiration in:,Stories of others' achievements,Exploring your own ideas,,
,Do you enjoy challenges that:,Test your existing skills,Require you to learn new skills,,
,Do you prioritize your partner's happiness over your own?,"Yes, their happiness comes first",Balance both equally,,
,Would you rather discuss problems openly or avoid conflict?,Discuss openly,Avoid conflict,,
,Do you prefer to give surprises or receive them?,Give surprises,Receive surprises,,
,Would you rather develop a new skill or perfect an existing one?,Develop a new skill,Perfect an existing skill,,
,Are you confident in your abilities?,Yes,No,,
,Do you often help others without being asked?,Yes,No,,
,"When reflecting on your work, do you:",Focus on what went well,Look for areas to improve,,
,Would you rather buy an item online for less or in-store for immediate possession?,"Online, save money","In-store, get it now",,
,How do you feel about your partner having close friends of the opposite gender?,Comfortable with it,Uncomfortable with it,,
,Which one speaks to you right now?,"""Believe in yourself and all you can be.""","""Take things as they come.""",,
13 (Observer),Do you prefer to:,Specialize deeply in one area,Have a broad range of knowledge,,
,How important is it for you to have alone time away from your partner?,Very important,Not necessary,,
,Would you rather be with someone who makes you laugh or someone who makes you think?,Makes me laugh,Makes me think,,
,Do you value spontaneity or routine more in your relationships?,Spontaneity,Routine,,
,Do you believe that relationships require hard work or should feel effortless?,Require hard work,Should feel effortless,,
,Do you prefer to work towards long-term goals or enjoy short-term achievements?,Long-term goals,Short-term achievements,,
,"In learning, do you value more:",Mastery of fundamentals,Creative exploration,,
,Which makes you feel better to do?,Offer free tutoring in a subject you know.,Send a thank-you note to a teacher.,,
,Which one feels like your truth?,"""Rise up and keep going.""","""Let go and find peace.""",,
,Do you find it hard to admit when you're wrong?,Yes,No,,
,Do you regularly reflect on your actions and behavior?,Yes,No,,
,Are you open to change and new ideas?,Yes,No,,
,Would you rather be a successful entrepreneur or a high-ranking government official?,Entrepreneur,Government official,,
,Would you rather pay for a gym membership monthly or commit to a yearly contract for a discount?,Pay monthly,"Yearly contract, discount",,
,Would you rather spend money on an experience or a physical item?,Experience,Physical item,,
,Would you rather be an influential politician or a renowned activist?,Politician,Activist,,
,"When approaching a task, do you:",Follow established guidelines,Find your own way to do it,,
,Would you rather prefer a job with a higher salary but less satisfaction or lower salary but high satisfaction?,"Higher salary, less satisfaction","Lower salary, high satisfaction",,
,Would you rather be a master of a musical instrument or fluent in multiple languages?,Musical instrument,Multiple languages,,
,Would you rather lead adventure tours or teach yoga retreats?,Adventure tours,Yoga retreats,,
,"When thinking about the future, do you often imagine:",The worst-case scenarios.,Positive possibilities.,,
,Which do you like more?,Donate pet supplies to an animal shelter.,Help clean up a local park.,,
,Which one do you relate to more?,"""Take action toward your dreams.""","""Allow yourself to rest and reflect.""",,
,Would you rather be a fashion stylist or a makeup artist?,Fashion stylist,Makeup artist,,
,Would you rather buy something on sale even if you don't need it or pay full price when you do need it?,Buy on sale now,Wait and pay full price,,
,Would you rather be a professional sports coach or a sports journalist?,Sports coach,Sports journalist,,
,"If someone disagrees with you, the first thing you think:","""They must not like me.""","""Different opinions are okay.""",,
,Would you rather get a bonus at work or an extra week of vacation?,Bonus at work,Extra vacation week,,
,Do you feel more satisfied when:,Completing a task efficiently,Discovering something new along the way,,
,Do you tend to overthink simple situations?,Yes,No,,
,Do you take initiative without waiting for instructions?,Yes,No,,
,Do you find it easy to stay motivated?,Yes,No,,
,Do you avoid taking risks?,Yes,No,,
,Do you communicate your thoughts clearly?,Yes,No,,
,Which would you rather do?,Compliment your server at a restaurant.,Send flowers to someone unexpectedly.,,
,Would you rather receive a $50 rebate after purchase or a $40 instant discount?,$50 rebate later,$40 discount now,,
,Which one feels more like your approach?,"""Be bold; pursue what lights you up.""","""Embrace calm and simplicity.""",,
,"When brainstorming, do you:",Prefer structured methods,Let ideas flow freely,,
,Would you rather host a wildlife show or a cooking show?,Wildlife show,Cooking show,,
,Would you rather be a children's book author or an illustrator?,Author,Illustrator,,
,"When a friend doesn't invite you somewhere, do you assume:","""Maybe it was an oversight.""","""They don't value our friendship.""",,
,Would you rather run a tech startup or a sustainable farm?,Tech startup,Sustainable farm,,
,Which one feels closer to your heart?,"""Create the life you love.""","""Embrace where you are now.""",,
,Would you rather keep a gift you don't need or exchange it for something you might use?,Keep the gift,Exchange it,,
,Would you rather grow together with your partner or grow individually and support each other?,Grow together,"Grow individually, support each other",,
,Are you good at resolving conflicts?,Yes,No,,
,Do you often feel overwhelmed by your workload?,Yes,No,,
,Do you keep your promises and commitments?,Yes,No,,
,Do you recharge by:,Having quiet time alone,Engaging in activities with others,,
,Which act appeals to you more?,Participate in a charity run.,Help an elderly person with errands.,,
14 (Questioner),Which one connects with your current mindset?," ""Stay true to what makes you unique.""","""Find beauty in each moment.""",,
,Would you rather save 20% on a $50 item or 5% on a $200 item?,Save 20% on $50,Save 5% on $200,,
,Would you rather donate to a cause that helps one person directly or one that helps many indirectly?,Help one person directly,Help many indirectly,,
,Would you rather spend money to save time or spend time to save money?,"Spend money, save time","Spend time, save money",,
,"When starting a project, do you:",Learn as you progress,Research extensively beforehand,,
,Which one feels like your current vibe?,"""Follow what makes you happy.""","""Find calm in the present.""",,
,Would you prefer to focus on self-improvement through reflection or through action?,Through reflection,Through action,,
,"If you don't receive immediate feedback, do you think:","""Patience; feedback will come in time.""","""No news is bad news.""",,
,Which excites you more: learning about science or learning about art?,Science,Art,,
,Do you get frustrated easily?,Yes,No,,
,Do you actively seek out challenges?,Yes,No,,
,Are you comfortable asking for help when needed?,Yes,No,,
,Which one do you need to hear today?,"""You are stronger than you think.""","""It’s okay to take it slow.""",,
,Would you rather have a home with a beautiful garden or one with a fantastic view?,Beautiful garden,Fantastic view,,
,"When seeking improvement, do you:",Set specific performance goals,Focus on overall growth,,
,Would you rather have a sure gain of $75 or a 75% chance to win $100?,Sure gain of $75,75% chance at $100,,
